Region,Postal,lat,lng,Group
ACEH,AC,4.41533,96.9956,1
SUMATERA UTARA,SU,2.36304,99.2161,2
SUMATERA BARAT,SB,-0.642611,100.611,3
RIAU,RI,0.396892,101.745,4
JAMBI,JA,-1.65497,102.823,5
SUMATERA SELATAN,SL,-3.3824,104.073,6
BENGKULU,BE,-3.48606,102.368,7
LAMPUNG,LA,-4.919,105.059,8
KEP. BANGKA BELITUNG,BB,-2.95817,106.819,9
KEP. RIAU,KR,-0.142639,104.601,10
DKI JAKARTA,JK,-6.22462,106.837,11
JAWA BARAT,JR,-6.90763,107.638,12
JAWA TENGAH,JT,-7.2901,109.896,13
DI YOGYAKARTA,YO,-7.83533,110.443,14
JAWA TIMUR,JI,-7.88129,112.616,15
BANTEN,BT,-6.25794,106.167,16
BALI,BA,-8.3412,115.179,17
NUSA TENGGARA BARAT,NB,-8.57106,116.294,18
NUSA TENGGARA TIMUR,NT,-8.58443,120.689,19
KALIMANTAN BARAT,KB,-0.0636474,111.304,20
KALIMANTAN TENGAH,KT,-1.84217,113.286,21
KALIMANTAN SELATAN,KS,-3.00713,115.451,22
KALIMANTAN TIMUR,KI,1.28915,116.354,23
KALIMANTAN UTARA,KU,3.073093,116.041389,24
SULAWESI UTARA,SW,0.853039,124.446,25
SULAWESI TENGAH,ST,-1.30097,120.153,26
SULAWESI SELATAN,SE,-3.7444,119.99,27
SULAWESI TENGGARA,SG,-4.0746,122.119,28
GORONTALO,GO,0.760501,122.331,29
SULAWESI BARAT,SR,-2.69615,119.316,30
MALUKU,MA,-8.24814,128.161,31
MALUKU UTARA,LA,-2.28945,125.976,32
PAPUA BARAT,IB,-1.32525,132.825,33
PAPUA,PA,-4.10825,138.689,34
